price,num_bath,num_bed,num_parking,property_size,day,month,year,blacktown,mosman,parramatta,Apartment,Block of units,Duplex/semi-detached,House,Townhouse,Unit
1150000.0,1.0,3.0,1.0,670.0,24.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1007500.0,2.0,3.0,4.0,651.0,24.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
790000.0,2.0,2.0,1.0,126.0,24.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1900000.0,4.0,7.0,6.0,739.8,22.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
435000.0,2.0,2.0,1.0,122.0,21.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1235000.0,2.0,4.0,6.0,556.0,20.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
950000.0,1.0,3.0,1.0,562.7,18.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
880000.0,1.0,3.0,2.0,569.1,18.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1030000.0,1.0,3.0,1.0,556.0,11.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
960000.0,1.0,3.0,2.0,556.0,11.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1221000.0,1.0,3.0,1.0,835.0,8.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
900000.0,1.0,3.0,1.0,562.0,8.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1080000.0,2.0,5.0,1.0,560.0,5.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
920000.0,2.0,3.0,2.0,236.0,5.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
410000.0,1.0,2.0,1.0,84.0,5.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1060000.0,2.0,3.0,1.0,441.5,3.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
432000.0,1.0,2.0,1.0,61.0,3.0,8.0,2026.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
900000.0,2.0,3.0,3.0,600.7,31.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
900000.0,1.0,3.0,2.0,600.0,30.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1700000.0,4.0,7.0,2.0,584.0,29.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
820000.0,1.0,2.0,2.0,308.0,29.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
420000.0,2.0,2.0,1.0,109.0,29.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200000.0,2.0,5.0,1.0,550.0,28.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
590000.0,2.0,2.0,1.0,103.0,28.0,7.0,2026.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
458000.0,2.0,2.0,1.0,108.0,28.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200000.0,2.0,5.0,2.0,803.0,27.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1075000.0,2.0,4.0,2.0,588.0,25.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1010000.0,2.0,4.0,1.0,581.7,25.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1010000.0,1.0,3.0,3.0,556.0,25.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
992500.0,2.0,4.0,1.0,600.0,25.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
885000.0,1.0,3.0,2.0,562.0,25.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
570000.0,2.0,2.0,1.0,101.0,22.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1050000.0,1.0,3.0,1.0,556.4,21.0,7.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
